"date","day_of_week","month","year","open","close","high","low"
"02/01/1992","Thursday","January",1992,1557,1782,1782,1528
"03/01/1992","Friday","January",1992,1766,1766,1766,1766
"06/01/1992","Monday","January",1992,1766,2000,2000,1750
"07/01/1992","Tuesday","January",1992,1982,1982,1982,1982
"08/01/1992","Wednesday","January",1992,1964,1719,1964,1719
"09/01/1992","Thursday","January",1992,1704,1704,1704,1704
"10/01/1992","Friday","January",1992,1704,1930,1930,1689
"13/01/1992","Monday","January",1992,1930,1897,2134,1897
"14/01/1992","Tuesday","January",1992,1880,1880,1880,1880
"15/01/1992","Wednesday","January",1992,1865,1865,1865,1865
"16/01/1992","Thursday","January",1992,1833,1833,1833,1833
"17/01/1992","Friday","January",1992,1833,1833,2063,1833
"20/01/1992","Monday","January",1992,1833,2045,2045,1818
"21/01/1992","Tuesday","January",1992,2029,2029,2029,2029
"22/01/1992","Wednesday","January",1992,1996,1996,1996,1996
"23/01/1992","Thursday","January",1992,1996,2200,2200,1980
"24/01/1992","Friday","January",1992,2200,2401,2401,2183
"27/01/1992","Monday","January",1992,2401,2382,2599,2382
"28/01/1992","Tuesday","January",1992,2382,2578,2578,2363
"29/01/1992","Wednesday","January",1992,2578,2539,2750,2327
"30/01/1992","Thursday","January",1992,2519,2309,2519,2309
"31/01/1992","Friday","January",1992,2309,2292,2500,2292
"03/02/1992","Monday","February",1992,2292,2275,2481,2068
"04/02/1992","Tuesday","February",1992,2241,2241,2241,2037
"05/02/1992","Wednesday","February",1992,2224,2022,2224,2022
"06/02/1992","Thursday","February",1992,1993,1993,1993,1993
"07/02/1992","Friday","February",1992,1993,2176,2176,1978
"10/02/1992","Monday","February",1992,2145,2145,2145,2145
"11/02/1992","Tuesday","February",1992,2130,2130,2130,1937
"12/02/1992","Wednesday","February",1992,2130,2101,2292,2101
"13/02/1992","Thursday","February",1992,2101,1871,2245,1871
"14/02/1992","Friday","February",1992,2058,2058,2058,2058
"17/02/1992","Monday","February",1992,2044,2044,2044,2044
"18/02/1992","Tuesday","February",1992,2044,2200,2200,2017
"19/02/1992","Wednesday","February",1992,2200,2352,2352,2171
"20/02/1992","Thursday","February",1992,2352,2337,2516,2337
"21/02/1992","Friday","February",1992,2337,2484,2484,2306
"24/02/1992","Monday","February",1992,2484,2468,2644,2468
"25/02/1992","Tuesday","February",1992,2437,2437,2437,2263
"26/02/1992","Wednesday","February",1992,2406,2406,2406,2234
"27/02/1992","Thursday","February",1992,2406,2391,2562,2391
"28/02/1992","Friday","February",1992,2391,2531,2531,2362
"05/03/1992","Thursday","March",1992,2485,2485,2485,2485
"06/03/1992","Friday","March",1992,2485,2456,2619,2456
"09/03/1992","Monday","March",1992,2456,2427,2588,2427
"10/03/1992","Tuesday","March",1992,2398,2398,2398,2239
"11/03/1992","Wednesday","March",1992,2385,2385,2385,2385
"12/03/1992","Thursday","March",1992,2385,2357,2514,2357
"13/03/1992","Friday","March",1992,2357,2486,2486,2331
"16/03/1992","Monday","March",1992,2458,2458,2458,2458
"17/03/1992","Tuesday","March",1992,2445,2292,2445,2292
"18/03/1992","Wednesday","March",1992,2292,2418,2418,2267
"19/03/1992","Thursday","March",1992,2391,2391,2391,2391
"20/03/1992","Friday","March",1992,2391,2514,2514,2366
"23/03/1992","Monday","March",1992,2487,2341,2487,2341
"24/03/1992","Tuesday","March",1992,2341,2328,2474,2328
"25/03/1992","Wednesday","March",1992,2304,2160,2304,2160
"26/03/1992","Thursday","March",1992,2160,2137,2280,2137
"27/03/1992","Friday","March",1992,2256,2256,2256,2256
"30/03/1992","Monday","March",1992,2234,2234,2234,2234
"31/03/1992","Tuesday","March",1992,2234,2487,2487,2211
"01/04/1992","Wednesday","April",1992,2463,2463,2463,2463
"02/04/1992","Thursday","April",1992,2438,2438,2438,2438
"03/04/1992","Friday","April",1992,2438,2549,2549,2415
"06/04/1992","Monday","April",1992,2549,2657,2657,2524
"07/04/1992","Tuesday","April",1992,2657,2763,2763,2632
